# device profiles: one block per voltage, blank-line separated
# block header lines start with '# V ='
# x[m] n[m-3] p[m-3] phi[V] E[V/m] R[m-3s-1] mun[m2/Vs] mup[m2/Vs] nt[m-3] pt[m-3] Jn[A/m2] Jp[A/m2]
# V = 0.000000
5.075000e-08 9.383787e+06 5.121491e+04 -3.432646e+00 -2.685880e+07 -1.597257e-21 5.000000e-09 5.000000e-09 3.812464e+07 2.080770e+05 -2.158632e-27 -2.085303e-29
5.125000e-08 1.577546e+07 3.046439e+04 -3.419217e+00 -2.685880e+07 -1.791031e-21 5.000000e-09 5.000000e-09 6.409287e+07 1.237713e+05 6.735624e-28 8.194368e-30
5.175000e-08 2.652077e+07 1.812126e+04 -3.405788e+00 -2.685880e+07 -1.057479e-21 5.000000e-09 5.000000e-09 1.077491e+08 7.362344e+04 -8.230706e-28 2.690179e-30
5.225000e-08 4.458513e+07 1.077915e+04 -3.392358e+00 -2.685880e+07 2.931482e-22 5.000000e-09 5.000000e-09 1.811414e+08 4.379375e+04 1.219332e-28 -4.415773e-30
5.275000e-08 7.495385e+07 6.411809e+03 -3.378929e+00 -2.685880e+07 -2.223151e-22 5.000000e-09 5.000000e-09 3.045241e+08 2.605003e+04 3.154608e-26 1.742023e-30
5.325000e-08 1.260079e+08 3.813964e+03 -3.365499e+00 -2.685880e+07 6.852315e-23 5.000000e-09 5.000000e-09 5.119477e+08 1.549545e+04 -2.317378e-26 5.894927e-31
5.375000e-08 2.118370e+08 2.268677e+03 -3.352070e+00 -2.685880e+07 1.420436e-21 5.000000e-09 5.000000e-09 8.606558e+08 9.217227e+03 -4.700423e-26 -4.196017e-31
5.425000e-08 3.561278e+08 1.349487e+03 -3.338641e+00 -2.685880e+07 -1.328264e-21 5.000000e-09 5.000000e-09 1.446883e+09 5.482723e+03 1.508642e-25 5.686906e-31
5.475000e-08 5.987007e+08 8.027212e+02 -3.325211e+00 -2.685880e+07 -2.464734e-22 5.000000e-09 5.000000e-09 2.432414e+09 3.261312e+03 -1.090506e-25 -1.745333e-31
5.525000e-08 1.006500e+09 4.774862e+02 -3.311782e+00 -2.685880e+07 -1.034747e-21 5.000000e-09 5.000000e-09 4.089228e+09 1.939941e+03 -2.242952e-25 -8.714372e-32
5.575000e-08 1.692068e+09 2.840252e+02 -3.298352e+00 -2.685880e+07 3.258552e-22 5.000000e-09 5.000000e-09 6.874567e+09 1.153943e+03 -6.302176e-26 4.293909e-32
5.625000e-08 2.844603e+09 1.689479e+02 -3.284923e+00 -2.685880e+07 -5.189409e-22 5.000000e-09 5.000000e-09 1.155711e+10 6.864051e+02 -1.218836e-26 -6.967725e-32
5.675000e-08 4.782176e+09 1.004960e+02 -3.271494e+00 -2.685880e+07 -3.868170e-22 5.000000e-09 5.000000e-09 1.942912e+10 4.082974e+02 -1.418595e-25 -5.051405e-34
5.725000e-08 8.039509e+09 5.977849e+01 -3.258064e+00 -2.685880e+07 7.858606e-22 5.000000e-09 5.000000e-09 3.266308e+10 2.428693e+02 3.011796e-24 1.833911e-32
5.775000e-08 1.351554e+10 3.555830e+01 -3.244635e+00 -2.685880e+07 -6.150322e-19 5.000000e-09 5.000000e-09 5.491122e+10 1.444670e+02 -2.532243e-24 8.246504e-33
5.825000e-08 2.272152e+10 2.115130e+01 -3.231205e+00 -2.685880e+07 -4.663834e-22 5.000000e-09 5.000000e-09 9.231345e+10 8.593394e+01 -4.231355e-24 -1.215810e-32
5.875000e-08 3.819807e+10 1.258152e+01 -3.217776e+00 -2.685880e+07 1.152130e-21 5.000000e-09 5.000000e-09 1.551918e+11 5.111646e+01 3.955470e-24 1.189476e-33
5.925000e-08 6.421631e+10 7.483920e+00 -3.204347e+00 -2.685880e+07 6.207066e-19 5.000000e-09 5.000000e-09 2.608992e+11 3.040583e+01 7.576429e-25 3.453557e-34
5.975000e-08 1.079566e+11 4.451693e+00 -3.190917e+00 -2.685880e+07 1.432063e-21 5.000000e-09 5.000000e-09 4.386079e+11 1.808643e+01 1.770110e-25 -5.415532e-35
6.025000e-08 1.814902e+11 2.648020e+00 -3.177488e+00 -2.685880e+07 1.294675e-21 5.000000e-09 5.000000e-09 7.373609e+11 1.075843e+01 -4.670179e-24 -1.288628e-35
